,city,name,url,image_url,score,description
162,marseille,ibis budget Marseille Vieux Port,booking.com/hotel/fr/etap-marseille-vieux-port.fr.html?sid=0bcb2c850f2b154f570a4215c6787833,https://cf.bstatic.com/xdata/images/hotel/square200/23545310.jpg?k=2ff83c6bfc0755c297dd6812779a099c25a33497f41de351cfd4453d58cc1a52&o=,7.4,"Situé en plein cœur de Marseille, l’ibis Budget Marseille Vieux Port affiche une façade du XIVe siècle et possède un bar à cocktails. "
163,marseille,B&B Hôtel Marseille Prado Vélodrome,booking.com/hotel/fr/b-amp-b-marseille-velodrome-prado.fr.html?sid=0bcb2c850f2b154f570a4215c6787833,https://cf.bstatic.com/xdata/images/hotel/square200/89484830.jpg?k=dd2736cb9f3e7f51869d5a0ae750b7763103918baefd27b44ec58de0580cc1ba&o=,7.8,"Situé à Marseille, à 200 mètres du stade Vélodrome et à 2 km de la plage du Prado, le B&B Marseille Vélodrome Prado propose des chambres climatisées avec connexion Wi-Fi gratuite. "
164,marseille,nhow Marseille,booking.com/hotel/fr/pullman-palm-beach-marseille.fr.html?sid=0bcb2c850f2b154f570a4215c6787833,https://cf.bstatic.com/xdata/images/hotel/square200/300662871.jpg?k=af040fe833a924673d1897e724465282ee971c0796d8159077b31a8cf865b8a3&o=,8.3,"Le nhow Marseille at Palm Beach est installé en front de mer dans la baie du Prado, à 4 km du centre de Marseille. "
165,marseille,B&B Hôtel Marseille Euromed,booking.com/hotel/fr/b-amp-b-marseille-euromed.fr.html?sid=0bcb2c850f2b154f570a4215c6787833,https://cf.bstatic.com/xdata/images/hotel/square200/49043715.jpg?k=77b7c8ad9c79a3d7c20ea967e3acb64125e884280d9da8266bccb5d7b7b0e7e1&o=,7.0,"Situé à 2,3 km du Vieux-Port, le B&B Hôtel Marseille Euromed fournit gratuitement une connexion Wi-Fi accessible dans l'ensemble de ses locaux. "
166,marseille,NH Collection Marseille,booking.com/hotel/fr/nh-collection-marseille.fr.html?sid=0bcb2c850f2b154f570a4215c6787833,https://cf.bstatic.com/xdata/images/hotel/square200/257365943.jpg?k=65a895ce7bd1135d15b19f54223eeeda1553e5650882c431007564f83646269b&o=,8.6,"Doté d'un bar à cocktails, d'un jardin et d'une salle de sport au 6ème étage, le NH Collection Marseille vous accueille à La Joliette, le nouveau quartier des affaires et de loisirs de Marseille,..."
167,marseille,B&B Hôtel Marseille Centre La Joliette,booking.com/hotel/fr/b-amp-b-ha-tel-marseille-centre-la-joliette.fr.html?sid=0bcb2c850f2b154f570a4215c6787833,https://cf.bstatic.com/xdata/images/hotel/square200/156395265.jpg?k=6af5aafa89abd9e420f5f6dc9412d50aa58910fd2f13aa851bf72e6297b4da83&o=,7.0,"Bénéficiant d'une connexion Wi-Fi gratuite dans l'ensemble de ses locaux, le B&B Hôtel Marseille Centre La Joliette est situé à seulement 150 mètres de la station de métro La Joliette qui dispose de..."
168,marseille,Golden Tulip Marseille Euromed,booking.com/hotel/fr/golden-tulip.fr.html?sid=0bcb2c850f2b154f570a4215c6787833,https://cf.bstatic.com/xdata/images/hotel/square200/264041046.jpg?k=aef8142ec8455869a9b8670edd555198a27ed3b1511e2a2f42b23bdefa2d400d&o=,8.0,"Offrant une vue sur la mer, le Golden Tulip Marseille Euromed vous accueille à Marseille, à seulement 500 mètres du centre commercial Les Terrasses du Port. "
169,uzes,Logis Uzès Pont du Gard,booking.com/hotel/fr/uzes.fr.html?sid=3131b626c4dc699e06a5aab8dc8dfc40,https://cf.bstatic.com/xdata/images/hotel/square200/283447891.jpg?k=41264cf494ff398c92878957511bd19858baa2c4000a12fa685c56c2ccfc7cac&o=,7.9,Le Logis Uzès Pont du Gard propose des chambres confortables et bien équipées à seulement 10 minutes de marche du centre. 
170,marseille,Kyriad Marseille Palais Des Congrès – Vélodrome,booking.com/hotel/fr/hotelkyriadrabatau.fr.html?sid=0bcb2c850f2b154f570a4215c6787833,https://cf.bstatic.com/xdata/images/hotel/square200/306920635.jpg?k=4b54d45da04cc811d4a30ecd201e2df25d4b626c6c4fae3d22e8e5d03b1c2619&o=,7.8,"Installé à 1 km du stade vélodrome dans le sud de Marseille, le Kyriad Marseille Palais Des Congrès - Vélodrome propose des chambres climatisées dotées d'une connexion Wi-Fi gratuite ainsi que d'une..."
171,uzes,Boutique Hôtel Entraigues,booking.com/hotel/fr/entraigues-uzes2.fr.html?sid=3131b626c4dc699e06a5aab8dc8dfc40,https://cf.bstatic.com/xdata/images/hotel/square200/322949185.jpg?k=d6a8ef7c5f216f90b8ae7f34a38353783f34573cdaf2a1e95a46867f87429f20&o=,8.9,"Doté d’une piscine extérieure, le Boutique Hôtel Entraigues vous accueille à Uzès, dans le Languedoc-Roussillon, à 32 km d’Avignon. Il possède une terrasse bien exposée et offre une vue sur la ville. "
172,uzes,La Taverne,booking.com/hotel/fr/la-taverne.fr.html?sid=3131b626c4dc699e06a5aab8dc8dfc40,https://cf.bstatic.com/xdata/images/hotel/square200/13687289.jpg?k=87861507950c2e33b9d3fa2e6fce7273cd7b2b0c03ce0804fdf60bb80656312c&o=,8.8,"L'établissement La Taverne est situé à Uzès, dans une rue piétonne, à seulement 2 minutes à pied du château du Duché. L'office de tourisme est à 100 mètres de là et le musée Haribo, à 3 km. "
173,uzes,Hostellerie Provençale,booking.com/hotel/fr/hostellerie-provencale.fr.html?sid=3131b626c4dc699e06a5aab8dc8dfc40,https://cf.bstatic.com/xdata/images/hotel/square200/6657411.jpg?k=936a3777a5063ed6ccdf170d425596c4fdfed408d545e58378a0d32de718467a&o=,8.8,"En séjournant dans le centre d'Uzès, vous pourrez pleinement apprécier les charmes de cet hôtel typiquement provençal. L'Hostellerie Provençale et son personnel seront ravis de vous accueillir. "
174,uzes,Hôtel Le Saint-Geniès,booking.com/hotel/fr/le-saint-genies.fr.html?sid=3131b626c4dc699e06a5aab8dc8dfc40,https://cf.bstatic.com/xdata/images/hotel/square200/148720893.jpg?k=bec3cdda92f297432ac20f57925c831fe154fc49b17796571e19f20188eaeaf0&o=,8.9,"Cet hôtel à la gestion familiale est situé au cœur d'un jardin, dans un quartier résidentiel paisible à 1,5 km du centre historique d'Uzès. "
175,uzes,Patio De Violette,booking.com/hotel/fr/patio-de-violette.fr.html?sid=3131b626c4dc699e06a5aab8dc8dfc40,https://cf.bstatic.com/xdata/images/hotel/square200/187344640.jpg?k=5490f6d4c0a2f6d46fe69db47d4e84f89194c1c6d55ae48726ea3612a2a04fb5&o=,8.6,"Situé dans la campagne du Languedoc-Roussillon, le Patio De Violette se trouve à 2 minutes de route de la ville d'Uzès. "
176,uzes,La Maison d'Uzès Relais & Châteaux,booking.com/hotel/fr/la-maison-d-uza-s.fr.html?sid=3131b626c4dc699e06a5aab8dc8dfc40,https://cf.bstatic.com/xdata/images/hotel/square200/86589359.jpg?k=847796341bbfeadd8646ce4d2345774afe476140624438b9401fccb9d02d4a2f&o=,8.7,"Située dans le centre de la vieille ville d'Uzès, La Maison d'Uzès Relais & Châteaux se situe dans un bâtiment classé et propose un hammam ainsi qu'un bain romain (dont l'accès est gratuit pendant une..."
